788, 1420, 16744, 4,-284, 1708, 15964, 6,-3212, 2080, 15920, 7,-10224, 1816, 15784, 6,-12060, 1564, 16292, 5,-2792, 4944, 15304, 17,1988, 3196, 15252, 11,6752, 2380, 16800, 8,7800, 3296, 17528, 10,6204, 1816, 17556, 5
-732, 1384, 16868, 4,-812, 1448, 16620, 4,-604, 2192, 16488, 7,-2256, 1584, 16604, 5,-4388, 1796, 16652, 6,-7184, 2336, 16732, 7,-6212, 2884, 14936, 10,-3596, 2748, 13972, 11,-3328, 3228, 15060, 12,1972, 3352, 16008, 11
-3740, -160, 16792, 0,-3952, 708, 16568, 2,-6248, 836, 15800, 3,-8712, 1344, 14364, 5,-9500, 2704, 13008, 11,-7364, 3040, 13864, 12,-856, 2808, 14624, 10,3280, 2352, 16956, 7,7512, 2228, 18048, 7,5872, 2080, 19060, 6
-2920, 1380, 16520, 4,-3140, 792, 16576, 2,-3500, 1440, 16228, 5,-5632, 1572, 15132, 5,-6620, 2104, 13884, 8,-6372, 2512, 13148, 10,-4100, 4372, 14368, 16,-7820, 2888, 15916, 10,-5156, 1520, 16112, 5,684, 3916, 18484, 11
-2640, 2884, 16936, 9,-3632, 2864, 16064, 10,-6540, 3252, 14740, 12,-7316, 4844, 12396, 21,-6068, 4564, 13960, 18,-3572, 4092, 14972, 15,-4760, 2528, 16720, 8,-3416, 1856, 16528, 6,-3080, 2528, 16540, 8,-256, 2504, 16680, 8
-5424, 468, 15924, 1,-7776, 516, 15340, 1,-8432, 520, 14116, 2,-8168, 1144, 14028, 4,-10228, 828, 14784, 3,-9480, 1476, 14608, 5,-7252, 1792, 15284, 6,-2052, -356, 15372, -1,3124, -556, 15268, -2,2476, -364, 17584, -1
-6568, 160, 14976, 0,-7784, -92, 14064, 0,-7460, 696, 13820, 2,-6968, 1808, 14588, 7,-7560, 592, 14896, 2,-8320, 972, 14776, 3,-8768, 1048, 15012, 3,-6976, 1740, 14668, 6,-4892, 1416, 15352, 5,-2264, 1072, 17280, 3
-4720, 296, 15256, 1,-5152, 1232, 14784, 4,-5604, 992, 14596, 3,-7340, 2028, 14548, 7,-8656, 188, 14208, 0,-9840, 564, 14536, 2,-6384, 808, 12876, 3,-8760, 1068, 14784, 4,-8108, -680, 15024, -2,-6772, -936, 16852, -3
-4496, 612, 15828, 2,-5136, 1048, 14652, 4,-7180, 1216, 14500, 4,-11276, 1544, 15108, 5,-7840, 2376, 13288, 10,-6212, 2092, 13364, 8,-5632, 2936, 15332, 10,-6884, 392, 15372, 1,-5012, 2628, 16452, 9,-5204, -120, 16196, 0
-3640, 1416, 16180, 5,-3644, 1888, 15400, 6,-6544, 1108, 15612, 4,-9204, 2424, 14972, 9,-16268, 1932, 14236, 7,-6196, 3388, 13180, 14,796, 3352, 14316, 13,2140, 3200, 17832, 10,2764, 532, 17992, 1,2032, -680, 17580, -2
-2364, 3352, 16352, 11,-3276, 2740, 16152, 9,-3328, 2828, 15592, 10,-3616, 2600, 15596, 9,-6504, 2316, 16072, 8,-7568, 2144, 14072, 8,-8756, 1216, 13804, 5,-6392, 3540, 15988, 12,-6512, 1716, 16748, 5,-412, 3564, 16308, 12
