892, 1568, 16688, 5,772, 1160, 16604, 3,1336, 2156, 16064, 7,-348, -160, 15924, 0,-2752, -3912, 15368, -14,-3252, -10336, 12244, -40,-2384, -13288, 10732, -51,-1744, -14328, 8652, -58,-1888, -16536, 4816, -73,960, -17248, -28, -90
1692, 2136, 16220, 7,1584, 1936, 15624, 7,2360, 3004, 15656, 10,452, -796, 15900, -2,-940, -3864, 15224, -14,-1864, -8912, 13572, -33,-2244, -15148, 9872, -56,-848, -15140, 4864, -72,1096, -16612, -1692, -95,652, -17224, -7756, -114
2244, 3248, 15836, 11,2008, 3200, 15488, 11,636, 2436, 16332, 8,-20, 2804, 17092, 9,-1492, -4076, 16436, -13,-1292, -7696, 14328, -28,-716, -12040, 11988, -45,-524, -15352, 8880, -59,1532, -16468, 3020, -79,928, -17352, -1824, -96
1496, 3440, 15456, 12,624, 3432, 16220, 11,-1244, -964, 16920, -3,-2484, -2760, 17700, -8,-1392, -6136, 15540, -21,-1028, -7168, 14456, -26,-2544, -12280, 12544, -44,444, -13220, 6344, -64,2096, -13936, -4492, -107,-104, -20080, -12328, -121
1332, 412, 16712, 1,1860, 1916, 16356, 6,2188, 3668, 15428, 13,244, -5608, 13076, -23,-2152, -9456, 10684, -41,-1660, -15332, 7060, -65,-1120, -14556, -1080, -94,-1688, -20520, -8424, -112,-1020, -18044, -14216, -128,608, -9840, -17432, -150
2948, 924, 16536, 3,2124, 728, 16684, 2,2144, -1116, 16560, -3,1404, -3220, 16980, -10,2432, -4068, 16264, -14,2136, -4824, 14660, -18,816, -12764, 11004, -49,124, -15684, 7388, -64,596, -14612, 3236, -77,1320, -15080, -2456, -99
3368, 2260, 16568, 7,2504, 1528, 17052, 5,3104, 2252, 16520, 7,2668, 2484, 16484, 8,1488, -4480, 15584, -16,84, -6672, 14788, -24,472, -8652, 14336, -31,-884, -9484, 13852, -34,-244, -11800, 11056, -46,-628, -15804, 6272, -68
2240, 756, 16472, 2,1484, 548, 16720, 1,1288, 1268, 16508, 4,1012, -168, 16348, 0,864, -2408, 15888, -8,1784, -5596, 15392, -19,1292, -8380, 14504, -30,1424, -11892, 11828, -45,1704, -14948, 5028, -71,3068, -15276, -5224, -108
3996, 912, 16436, 3,4092, 1140, 16416, 3,3472, 1356, 16396, 4,1688, -728, 15640, -2,260, -8928, 14412, -31,-392, -12100, 11840, -45,372, -11912, 10604, -48,188, -12164, 8860, -53,-400, -12616, 4260, -71,-2624, -18276, -2496, -97
3416, -696, 16468, -2,3704, 48, 16296, 0,2668, 36, 16728, 0,2712, 920, 15584, 3,392, -9980, 13052, -37,1216, -12708, 10508, -50,1588, -14756, 7984, -61,1016, -15100, 4448, -73,1016, -17220, -1520, -95,968, -19352, -7008, -109
1436, -2716, 16716, -9,2128, -1720, 16748, -5,292, -4696, 16732, -15,572, -5384, 15644, -18,-72, -6092, 15224, -21,-612, -9332, 12288, -37,-404, -15712, 7892, -63,1796, -15564, 1268, -85,2312, -17336, -4040, -103,1092, -17452, -8324, -115
5496, -964, 15552, -3,4828, -1452, 16344, -5,4816, -952, 16684, -3,4960, -540, 16476, -1,4260, -3596, 15916, -12,2724, -5892, 14804, -21,1892, -10088, 13660, -36,1108, -10948, 12096, -42,1276, -12828, 9424, -53,52, -15136, 5984, -68
